,f_humidity,f_wind_speed,f_solar_irradiance,f_wind_dir
2022-06-24 21:00:00,86.71067810058594,3.1575071811676025,0.0,114.32096099853516
2022-06-24 21:15:00,86.96943664550781,3.2371912002563477,0.0,116.00526428222656
2022-06-24 21:30:00,87.31431579589844,3.181849241256714,0.0,124.52727508544922
2022-06-24 21:45:00,87.6419677734375,3.181324005126953,0.0,135.16969299316406
2022-06-24 22:00:00,87.94812774658203,3.2868363857269287,33.03083419799805,134.90162658691406
2022-06-24 22:15:00,87.88330078125,3.334202766418457,32.85136795043945,148.65283203125
2022-06-24 22:30:00,88.43095397949219,3.3061106204986572,35.034324645996094,150.5915985107422
2022-06-24 22:45:00,87.96839141845703,3.2712857723236084,26.624292373657227,166.17005920410156
2022-06-24 23:00:00,88.01831817626953,3.259974956512451,33.03519821166992,162.16693115234375
2022-06-24 23:15:00,87.74122619628906,3.1413168907165527,29.118083953857422,166.1427764892578
2022-06-24 23:30:00,87.67693328857422,3.0655548572540283,32.26541519165039,169.1630401611328
2022-06-24 23:45:00,87.49789428710938,3.04801344871521,31.253660202026367,163.9106903076172
2022-06-25 00:00:00,80.75232696533203,3.662229061126709,12.894442558288574,145.14816284179688
2022-06-25 00:15:00,81.70304870605469,3.6468284130096436,25.050281524658203,139.45973205566406
2022-06-25 00:30:00,81.36840057373047,3.608520030975342,23.324337005615234,173.51844787597656
2022-06-25 00:45:00,81.93289184570312,3.613124370574951,21.401823043823242,170.2195587158203
2022-06-25 01:00:00,81.58979034423828,3.645392894744873,24.23880958557129,166.34686279296875
2022-06-25 01:15:00,82.4043960571289,3.4928970336914062,25.094253540039062,176.2081756591797
2022-06-25 01:30:00,83.05279541015625,3.3249502182006836,20.168169021606445,192.73052978515625
2022-06-25 01:45:00,82.65884399414062,3.058670997619629,18.509109497070312,183.2455291748047
2022-06-25 02:00:00,83.712890625,2.919543981552124,20.848365783691406,193.1188201904297
2022-06-25 02:15:00,84.23452758789062,2.8600261211395264,16.42014503479004,194.57325744628906
2022-06-25 02:30:00,84.70944213867188,2.893328905105591,9.526447296142578,201.7135009765625
2022-06-25 02:45:00,84.95709991455078,2.9632503986358643,12.487174034118652,204.30055236816406
2022-06-25 03:00:00,85.44078063964844,3.124600887298584,9.508176803588867,200.08563232421875
2022-06-25 03:15:00,85.58586120605469,3.214953899383545,11.735502243041992,215.38681030273438
2022-06-25 03:30:00,85.06321716308594,3.245757579803467,22.539228439331055,207.16807556152344
2022-06-25 03:45:00,84.60142517089844,3.206195831298828,16.160192489624023,210.3406219482422
2022-06-25 04:00:00,85.05858612060547,3.1396195888519287,11.57274055480957,227.36851501464844
2022-06-25 04:15:00,84.63819885253906,3.0976381301879883,30.66818618774414,209.7454376220703
2022-06-25 04:30:00,84.36629486083984,3.0836007595062256,18.665754318237305,211.40097045898438
2022-06-25 04:45:00,83.91630554199219,2.953596830368042,30.15605926513672,206.60340881347656
2022-06-25 05:00:00,83.10831451416016,2.8380346298217773,36.61259460449219,202.53305053710938
2022-06-25 05:15:00,84.36962890625,2.646404266357422,22.923967361450195,203.44955444335938
2022-06-25 05:30:00,84.72484588623047,2.599897623062134,22.162702560424805,211.3262939453125
2022-06-25 05:45:00,85.89149475097656,2.53743577003479,20.809104919433594,216.70401000976562
2022-06-25 06:00:00,85.85020446777344,2.6452133655548096,22.969532012939453,205.8726348876953
2022-06-25 06:15:00,86.066162109375,2.6647098064422607,41.12029266357422,212.93348693847656
2022-06-25 06:30:00,85.2687759399414,2.7877180576324463,58.78083801269531,204.00216674804688
2022-06-25 06:45:00,84.58143615722656,2.9098691940307617,68.64836120605469,195.4129180908203
2022-06-25 07:00:00,84.52131652832031,3.0360891819000244,83.43236541748047,197.82093811035156
2022-06-25 07:15:00,83.18756866455078,3.078463554382324,111.05517578125,183.64552307128906
2022-06-25 07:30:00,80.87991333007812,3.103567600250244,152.1604461669922,171.88522338867188
2022-06-25 07:45:00,80.33061981201172,3.006547689437866,194.24293518066406,149.08436584472656
2022-06-25 08:00:00,78.61012268066406,3.1011786460876465,214.77276611328125,135.40077209472656
2022-06-25 08:15:00,78.14958190917969,3.405407667160034,269.6434631347656,114.43147277832031
2022-06-25 08:30:00,76.95770263671875,3.727494239807129,316.3233947753906,100.05789947509766
2022-06-25 08:45:00,76.32714080810547,3.8768436908721924,370.61114501953125,91.61849975585938
2022-06-25 09:00:00,75.8265380859375,4.054804801940918,415.5809631347656,75.2761001586914
2022-06-25 09:15:00,75.4755630493164,4.459654808044434,464.8412780761719,62.170047760009766
2022-06-25 09:30:00,75.80904388427734,4.781261444091797,510.4971618652344,49.612213134765625
2022-06-25 09:45:00,75.37458038330078,5.0284037590026855,579.492431640625,36.69670867919922
2022-06-25 10:00:00,75.1806411743164,5.423509120941162,650.5709838867188,27.99994468688965
2022-06-25 10:15:00,74.71658325195312,5.65620231628418,672.275390625,23.68919563293457
2022-06-25 10:30:00,73.73625946044922,5.835893154144287,701.9969482421875,18.934711456298828
2022-06-25 10:45:00,73.31554412841797,5.923056602478027,754.6491088867188,18.034854888916016
2022-06-25 11:00:00,72.10598754882812,6.029043674468994,804.9393310546875,8.369180679321289
2022-06-25 11:15:00,71.5111083984375,6.267918109893799,806.7222290039062,14.301299095153809
2022-06-25 11:30:00,70.95201110839844,6.400754928588867,834.2728881835938,15.835193634033203
2022-06-25 11:45:00,69.7809066772461,6.664744853973389,0.0,18.46384620666504
2022-06-25 12:00:00,68.9074478149414,6.789231300354004,0.0,22.469881057739258
2022-06-25 12:15:00,68.26737976074219,7.023022174835205,0.0,16.67770767211914
2022-06-25 12:30:00,68.82483673095703,7.261908054351807,0.0,14.98350715637207
2022-06-25 12:45:00,69.23217010498047,7.365826606750488,0.0,13.093659400939941
2022-06-25 13:00:00,68.59834289550781,7.614344120025635,0.0,10.345084190368652
2022-06-25 13:15:00,68.89282989501953,7.701076984405518,0.0,16.412755966186523
2022-06-25 13:30:00,69.40862274169922,7.700396537780762,0.0,14.333102226257324
2022-06-25 13:45:00,70.02347564697266,7.876123905181885,0.0,14.129598617553711
2022-06-25 14:00:00,69.37908172607422,8.032597541809082,0.0,8.139281272888184
